longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-117.8,33.69,13,1161,289,630,296,3.3438,333300,<1H OCEAN
-121.91,37.26,32,3983,876,1989,794,3.5625,255200,<1H OCEAN
-119.39,36.55,30,1669,314,837,325,3.3869,80400,INLAND
-119.19,36.14,41,759,140,408,129,3.9,85900,INLAND
-122.37,37.6,26,15,3,11,3,5.048,350000,NEAR OCEAN
-118.07,33.72,32,1179,250,369,209,5.1824,500001,NEAR OCEAN
-122.12,37.16,32,1602,317,752,275,5.1664,185100,NEAR OCEAN
-116.31,33.66,7,4497,831,2248,713,3.6354,98000,INLAND
-118.35,34.1,18,7432,2793,3596,2270,2.8036,225000,<1H OCEAN
-118.44,34.2,17,2934,950,2517,889,2.936,232500,<1H OCEAN
-117.27,32.84,26,3940,657,1180,600,6.1025,500001,NEAR OCEAN
-119.57,36.1,36,1729,317,737,278,3.5313,68800,INLAND
-122.2,37.77,39,2689,597,1888,537,2.2562,94800,NEAR BAY
-117.22,32.78,22,2020,466,1010,429,3.4527,175000,NEAR OCEAN
-117.78,34.07,18,3610,772,2899,765,3.9784,113500,INLAND
-121.33,38.03,19,1708,291,906,288,4.918,130600,INLAND
-116.94,32.81,22,4266,1010,2766,985,2.8175,135200,<1H OCEAN
-122.39,37.79,52,94,24,113,27,4.6563,350000,NEAR BAY
-118.33,34.16,44,2705,649,1676,654,3.4286,247900,<1H OCEAN
-121.97,37.54,28,2312,496,1344,467,4.7135,203200,<1H OCEAN
-120.89,37.52,42,1200,221,647,192,2.5402,157500,INLAND
-118.43,33.82,34,2112,614,946,574,4.6048,500001,NEAR OCEAN
-118.04,33.95,36,2722,515,1390,486,3.8214,178500,<1H OCEAN
-118.25,33.91,36,1950,365,1125,374,3.1111,119300,<1H OCEAN
-122.35,37.95,42,1485,290,971,303,3.6094,114600,NEAR BAY
-122.94,38.5,46,2280,492,807,366,2.6316,117000,<1H OCEAN
-117.9,34.02,15,14058,2486,8997,2497,5.0704,226200,<1H OCEAN
-119.67,36.89,15,2373,364,1280,386,5.308,167500,INLAND
-122.01,37.31,23,6846,1078,2951,1063,6.3702,332000,<1H OCEAN
-118.36,33.81,25,9042,2022,4458,1944,4.5592,378800,<1H OCEAN
-116.67,32.97,16,349,74,120,43,5.359,193800,<1H OCEAN
-118.35,33.89,25,1769,440,1371,414,3.0833,232700,<1H OCEAN
-121.28,37.94,44,1406,357,1489,386,1.4688,56800,INLAND
-116.96,32.85,11,9724,1796,5247,1777,4.1716,166100,<1H OCEAN
-118.55,34.19,31,1856,370,990,360,4.3654,223800,<1H OCEAN
-117.91,33.61,40,2790,531,952,424,4.8,500001,<1H OCEAN
-117.07,32.67,35,3200,725,1723,610,1.8977,95600,NEAR OCEAN
-118.97,37.64,13,1907,544,575,234,3.0685,162500,INLAND
-118.03,34.05,36,1359,317,1557,370,2.7955,157500,<1H OCEAN
-121.93,37.54,25,1354,192,596,220,6.629,352400,<1H OCEAN
-117.36,34.28,18,3903,715,1388,428,4.2386,157200,INLAND
-121.99,37.4,24,3217,689,1196,684,3.4896,226700,<1H OCEAN
-117.49,33.94,28,2787,490,1684,467,4.0256,127100,INLAND
-121.45,38.62,38,2419,605,1696,503,1.4861,63100,INLAND
-122.23,37.76,52,3011,542,1303,535,5.1039,273800,NEAR BAY
-120.21,36.77,20,1745,348,1093,302,2.3194,90600,INLAND
-118.68,34.27,16,4637,941,2476,878,4.0568,225200,<1H OCEAN
-118.11,33.95,34,1723,279,617,252,6.7501,400000,<1H OCEAN
-120.67,35.62,6,12779,2441,6085,2157,3.8661,168100,<1H OCEAN
-117.34,33.15,17,4505,1140,2111,1062,3.3536,283300,NEAR OCEAN
-118.32,33.98,47,1528,331,864,308,1.9732,101000,<1H OCEAN
-122.07,37.7,39,1420,272,645,277,4.125,232500,NEAR BAY
-118.02,34.09,24,2080,514,1976,478,2.6917,170000,INLAND
-117.93,33.86,17,1627,398,1216,369,3.3438,186600,<1H OCEAN
-117.9,33.67,25,639,98,311,93,6.6833,275900,<1H OCEAN
-122.16,37.73,52,2260,416,994,412,4.1164,198200,NEAR BAY
-119.29,36.31,14,2382,377,1278,386,5.1896,101900,INLAND
-122.12,38.01,50,1300,263,691,239,3.9519,126500,NEAR BAY
-119.8,34.43,22,2845,500,1456,454,5.6604,276400,NEAR OCEAN
-118.27,33.99,30,504,140,529,123,1.9531,100000,<1H OCEAN
-122.34,37.95,44,1675,317,806,311,3.0694,135300,NEAR BAY
-121.9,37.32,48,1274,313,971,291,3.7738,220600,<1H OCEAN
-121.06,39.29,14,1864,331,894,332,3.4028,171800,INLAND
-118.28,33.98,47,865,193,782,217,2.2411,93000,<1H OCEAN
-122,37.08,17,4154,739,2149,693,5.5919,373400,NEAR OCEAN
-120.49,37.32,10,1275,255,620,240,3.0263,118300,INLAND
-121.3,38.13,23,2864,504,1298,499,3.2303,131800,INLAND
-118.21,34.03,44,1550,407,1718,403,2.5268,141100,<1H OCEAN
-119.35,36.2,29,1938,404,1487,414,1.7462,51100,INLAND
-122.43,37.77,52,2685,629,1170,614,3.6894,418800,NEAR BAY
-121.85,37.41,25,1837,278,1006,271,6.6842,265300,<1H OCEAN
-122.16,37.77,45,2324,397,968,384,3.5739,176000,NEAR BAY
-118.17,33.84,29,4716,1372,2515,1272,2.726,208700,<1H OCEAN
-122.22,37.47,23,7740,1943,4124,1743,3.3268,322800,NEAR OCEAN
-122.11,37.99,16,3913,710,1782,676,5.1297,206700,NEAR BAY
-117.05,32.78,37,1184,178,529,192,4.7941,161700,<1H OCEAN
-122.78,38.41,43,1351,277,1011,297,2.5917,144000,<1H OCEAN
-117.3,34.14,39,1781,335,841,320,1.9432,89000,INLAND
-122.26,38.33,34,2048,316,780,267,5.815,339200,NEAR BAY
-117.27,34.14,36,3795,676,1742,585,4.1,96400,INLAND
-122.21,38.28,35,1273,210,555,181,4.4861,269300,NEAR BAY
-122.11,37.7,23,1689,461,828,443,2.1552,161400,NEAR BAY
-118.31,34.18,11,3112,890,1700,851,3.1587,181300,<1H OCEAN
-121.99,37.3,28,4863,901,2110,868,5.1483,342000,<1H OCEAN
-118.55,34.39,16,8726,1317,3789,1279,6.8419,323300,<1H OCEAN
-117.18,32.83,31,1772,353,1090,350,3.9265,162000,NEAR OCEAN
-114.68,33.49,20,1491,360,1135,303,1.6395,44400,INLAND
-117.86,33.75,6,1565,599,3157,629,2.9271,123200,<1H OCEAN
-119.63,34.4,29,3865,814,1266,613,6.0069,500001,<1H OCEAN
-122.02,37.3,26,1983,301,924,297,6.7123,354600,<1H OCEAN
-118.21,34.02,43,1811,513,2123,487,1.3615,133300,<1H OCEAN
-122.14,37.68,35,2976,518,1424,538,4.267,210300,NEAR BAY
-122.01,37.3,25,4044,551,1699,533,8.0837,380600,<1H OCEAN
-121.85,37.33,19,2228,559,2845,551,2.6,172800,<1H OCEAN
-118.43,34.32,34,2657,515,1948,532,4.233,157400,<1H OCEAN
-117.66,34.09,23,1426,313,954,319,3.0357,151500,INLAND
-118.42,34.16,17,277,70,119,59,4.0208,341700,<1H OCEAN
-122.87,38.43,36,1987,387,1065,347,4.0446,172200,<1H OCEAN
-122.45,37.77,52,2645,626,1275,553,3.35,492900,NEAR BAY
-122.38,41.54,14,4453,797,1817,685,2.7468,81100,INLAND
-123.49,38.7,9,5409,1019,594,327,3.3125,295400,NEAR OCEAN
-117.89,33.61,41,1790,361,540,284,6.0247,500001,<1H OCEAN
-122.35,37.96,32,1991,504,1139,423,2.0353,113600,NEAR BAY
-122.65,38.97,32,1856,472,703,292,1.1912,60000,INLAND
-118.12,34.04,34,2103,427,1355,434,4.5795,235300,<1H OCEAN
-118.23,33.91,34,789,200,1041,191,3.119,90300,<1H OCEAN
-122.35,37.93,19,1334,366,1048,316,1.7865,88000,NEAR BAY
-118.35,34.02,27,3358,1069,2415,956,1.4589,87500,<1H OCEAN
-118.11,34.08,42,3172,644,1829,642,3.3966,243200,<1H OCEAN
-117.89,33.88,33,1582,256,771,240,5.3836,229600,<1H OCEAN
-122.29,37.89,52,2178,421,940,423,5.0551,232200,NEAR BAY
-121.94,37.83,11,2836,373,959,335,10.5815,500001,INLAND
-118.21,34.18,14,2672,335,1113,318,12.1579,500001,<1H OCEAN
-122,37.96,32,3364,666,1980,678,3.7,179000,INLAND
-116.92,32.85,23,1378,269,767,266,4.0625,145000,<1H OCEAN
-118.34,34.01,37,4291,1102,1941,953,1.7945,106300,<1H OCEAN
-122.18,37.41,21,1034,117,323,117,10.7237,500001,NEAR OCEAN
-119.79,36.79,33,3433,785,1806,783,1.9386,67500,INLAND
-117.7,34.08,10,1979,454,1117,389,3.7802,107300,INLAND
-122.73,38.42,26,1446,296,884,295,4.3523,150000,<1H OCEAN
-118.31,34.01,52,2547,475,1417,444,1.8214,123200,<1H OCEAN
-117.97,33.94,34,1632,263,690,268,5.5608,255800,<1H OCEAN
-122.41,37.65,32,3436,868,2583,817,3.5039,232400,NEAR OCEAN
-117.11,33.83,14,2715,500,1540,464,3.8036,139600,INLAND
-117.23,34.49,9,4055,536,1458,478,5.4201,170600,INLAND
-120.47,34.98,6,5762,1115,2551,919,3.0723,137300,<1H OCEAN
-117.89,34.01,23,4535,955,3881,930,3.6275,154100,<1H OCEAN
-118.61,34.38,2,5989,883,1787,613,6.6916,329500,INLAND
-121.98,37.33,30,2645,462,1506,480,6.3716,330500,<1H OCEAN
-121.59,36.55,34,737,140,362,138,5.1788,270000,<1H OCEAN
-122.02,36.98,44,1153,238,657,219,3.2368,212500,NEAR OCEAN
-119.2,34.19,19,9503,1769,6370,1718,5.0016,218500,NEAR OCEAN
-120.62,37.35,18,874,203,572,190,1.6833,71000,INLAND
-117.01,34.01,15,5592,891,2419,840,4.7193,135200,INLAND
-121.64,37.85,22,1999,415,967,320,4.4583,253900,INLAND
-122.44,37.72,52,2890,571,1769,541,3.8274,252000,NEAR BAY
-122.02,37.31,34,2629,433,1301,431,6.083,341400,<1H OCEAN
-121.34,38.44,14,3205,465,1439,456,5.7452,240900,INLAND
-117.2,32.77,30,156,45,77,40,3.2679,137500,NEAR OCEAN
-118.37,33.88,20,2439,474,1219,497,5.9619,335900,<1H OCEAN
-117.16,32.81,34,2275,375,1021,379,3.6371000000000002,176300,NEAR OCEAN
-118.12,34.06,17,5137,1614,4945,1535,2.4599,181600,<1H OCEAN
-122.26,38.15,26,3699,671,2388,699,4.0515,121900,NEAR BAY
-122.06,37.38,21,1798,399,837,410,5.6999,470000,NEAR BAY
-118.19,33.83,42,1773,360,815,299,4.9,406300,NEAR OCEAN
-118.37,34.2,33,1438,309,1378,306,2.8917,170400,<1H OCEAN
-117.21,34.11,26,1757,304,905,281,3.4103,90900,INLAND
-117.27,34.12,31,2209,636,1314,562,1.7235,78800,INLAND
-118.49,34.04,50,2597,340,964,339,13.3036,500001,<1H OCEAN
-117.05,33.29,17,1800,312,891,281,7.0177,267600,<1H OCEAN
-117.94,34.1,31,1239,254,929,244,3.3625,153400,<1H OCEAN
-121.82,37.98,13,3995,605,1969,607,5.0164,165200,INLAND
-118.43,34.26,30,1246,373,1990,369,3.5104,140900,<1H OCEAN
-121.2,39.23,9,2802,447,955,418,5.2359,213300,INLAND
-121.42,38.7,10,2562,460,1478,433,4.0625,96200,INLAND
-119.8,36.29,7,479,84,327,103,5.1728,107500,INLAND
-118.01,34.08,30,2281,522,1969,500,3.6531,166300,INLAND
-121.56,39.16,12,3349,642,2029,619,2.9647,88800,INLAND
-118.28,34,42,1534,417,1295,380,2.0938,119200,<1H OCEAN
-118.3,34.08,34,1562,651,1774,559,1.5685,225000,<1H OCEAN
-119.55,37.75,30,2165,536,1500,414,3.5391,55900,INLAND
-117.27,33.2,34,1852,322,978,332,4.3542,156900,<1H OCEAN
-122.04,37.96,20,1143,346,578,298,2.2411,151800,NEAR BAY
-121.87,38,17,2713,442,1475,415,4.8542,144100,INLAND
-122.94,38.57,33,1530,266,728,250,5.1005,266700,<1H OCEAN
-117.16,32.75,19,5430,1593,2496,1484,2.9112,199100,NEAR OCEAN
-119.78,36.72,22,354,121,530,115,2.1458,34400,INLAND
-118.11,33.83,37,1249,202,517,189,4.4196,223100,<1H OCEAN
-118.13,34.04,42,2205,451,1392,423,4.3646,211400,<1H OCEAN
-117.02,32.7,18,1643,283,1134,269,5.1769,133000,NEAR OCEAN
-118.46,34.04,19,3522,1036,1820,977,3.2663,337500,<1H OCEAN
-121.94,37.3,25,1455,370,734,331,3.2727,262500,<1H OCEAN
-117.57,33.93,3,1240,151,519,146,7.5408,271900,INLAND
-118.4,34.2,30,2392,655,1987,609,2.8424,226400,<1H OCEAN
-121.38,38.58,38,2968,475,1176,454,5.0497,191700,INLAND
-121.37,38.57,22,4899,847,1701,826,5.2449,387000,INLAND
-121.89,37.34,46,1197,416,898,370,2.1714,190600,<1H OCEAN
-117.69,34.03,20,6374,1412,3690,1350,3.4184,162500,INLAND
-121.07,38.9,52,1280,281,523,266,1.7375,122200,INLAND
-117.01,32.77,24,2311,536,1005,525,2.9,185200,<1H OCEAN
-118.19,34.65,33,1781,326,913,314,3.9963,126800,INLAND
-118.21,33.92,28,2949,1003,4551,930,1.9026,131900,<1H OCEAN
-117.07,34.24,21,4773,1047,337,130,3.9375,115000,INLAND
-122.9,38.28,52,1275,218,627,185,2.3482,163500,NEAR OCEAN
-122.18,40.02,30,1952,397,961,333,2.25,68200,INLAND
-117.12,34.1,40,96,14,46,14,3.2708,162500,INLAND
-118.3,34.11,52,1954,245,645,237,6.9391,500001,<1H OCEAN
-121.76,37.29,15,2267,348,1150,327,7.1267,277900,<1H OCEAN
-118.94,35.39,13,3137,417,1318,397,7.7751,194100,INLAND
-118.32,34.03,31,2206,501,1194,435,1.9531,227800,<1H OCEAN
-121.33,37.97,38,3166,575,1351,561,3.5404,91600,INLAND
-117.09,33.03,17,2786,396,1228,396,6.4211,220700,<1H OCEAN
-120.9,39.95,20,1349,238,601,203,3.5417,96600,INLAND
-118.02,33.92,34,2169,418,1169,406,3.2222,218700,<1H OCEAN
-122.03,37.33,23,4221,671,1782,641,7.4863,412300,<1H OCEAN
-117.06,32.61,34,4325,1015,2609,979,2.8489,128300,NEAR OCEAN
-121.25,37.94,28,964,232,782,218,2.3269,55900,INLAND
-118.6,34.09,43,2228,438,960,395,7.6091,438500,<1H OCEAN
-118.02,34.13,33,2874,458,1239,431,5.2329,430900,INLAND
-122.44,37.78,52,2695,657,1243,573,2.8569,372200,NEAR BAY
-118.38,33.84,26,2869,567,1157,538,6.0382,355300,<1H OCEAN
-122.34,37.55,44,2465,328,843,324,6.9533,500001,NEAR OCEAN
-118.36,33.92,46,1231,231,793,256,4.1023,226800,<1H OCEAN
-115.38,32.82,38,1892,394,1175,374,1.9939,65800,INLAND
-117.79,34.1,26,1664,344,1024,339,3.5192,190500,INLAND
-118.02,33.95,35,2085,400,1112,391,3.4886,173900,<1H OCEAN
-114.6,33.62,16,3741,801,2434,824,2.6797,86500,INLAND
-121.36,38.63,28,6119,985,2631,934,4.875,146400,INLAND
-118.38,33.88,27,3039,606,1421,564,5.5771,345500,<1H OCEAN
-118.45,33.99,33,3125,785,1720,713,2.9722,325000,<1H OCEAN
-122.43,37.8,52,2696,572,925,552,5.0365,500000,NEAR BAY
-119.01,35.28,10,7011,1453,4163,1307,2.7659,77500,INLAND
-118.06,33.88,17,7187,1073,3844,1068,6.5901,337400,<1H OCEAN
-122.31,37.57,42,3157,676,1603,629,3.7422,292600,NEAR OCEAN
-119.79,36.77,43,2323,502,1144,471,2.3967,58700,INLAND
-118.26,34.23,38,1107,194,518,195,7.5582,263700,<1H OCEAN
-121.28,38.67,29,1087,174,430,174,4.3625,158800,INLAND
-117.95,33.68,19,1028,191,340,159,3.6364,252800,<1H OCEAN
-118.94,34.16,3,1170,148,493,142,8.0428,500001,<1H OCEAN
-117.35,34.01,23,3707,769,1938,658,2.725,95300,INLAND
-119.72,34.43,27,984,299,777,313,2.5694,275000,<1H OCEAN
-118.16,34.16,52,1576,239,696,249,6.07,261800,<1H OCEAN
-122.5,37.74,44,2082,470,1154,403,4.3611,268100,NEAR OCEAN
-121.81,37.25,12,2070,587,1216,532,4.1926,244500,<1H OCEAN
-122.18,38.07,10,4976,849,2089,803,5.3288,201800,NEAR BAY
-119.72,37.46,13,1999,375,750,308,2.875,96000,INLAND
-118.51,34.14,28,6748,904,2431,876,12.8879,500001,<1H OCEAN
-119.82,36.83,14,2982,412,1408,423,5.3241,123000,INLAND
-117.7,33.6,26,2283,506,634,469,2.3774,74300,<1H OCEAN
-117.13,32.58,32,1870,437,1142,426,2.3194,159400,NEAR OCEAN
-116.21,33.75,22,894,537.8705525375618,830,202,3.0673,68200,INLAND
-122.09,37.35,30,1502,186,501,180,10.0259,500001,NEAR BAY
-117.59,34.16,10,9467,1181,3819,1122,7.8252,361400,INLAND
-117.82,33.81,19,2556,304,822,260,9.9055,456900,<1H OCEAN
-119.29,34.28,38,2387,748,1537,741,2.3147,192500,NEAR OCEAN
-118.51,34,52,1241,502,679,459,2.3098,500001,<1H OCEAN
-122.5,37.75,45,1672,344,838,314,4.1419,291500,NEAR OCEAN
-121.97,37.29,29,2721,682,1602,646,3.337,265300,<1H OCEAN
-122.06,37.96,10,7136,1691,2959,1507,3.9816,182000,NEAR BAY
-118.27,33.95,43,1156,291,1074,299,1.8814,94900,<1H OCEAN
-117.87,33.88,25,1808,440,1342,454,3.025,156900,<1H OCEAN
-118.17,34.02,34,760,219,968,202,1.7813,145000,<1H OCEAN
-118.98,37.64,17,3769,908,1160,453,3.05,188900,INLAND
-121.64,36.72,17,4203,816,2900,827,4.1742,159900,<1H OCEAN
-122.45,37.78,52,2686,606,1392,578,4,355300,NEAR BAY
-117.96,34.04,35,1141,212,924,212,3.1591,148300,<1H OCEAN
-117.09,32.72,39,1273,246,770,242,2.0938,102500,NEAR OCEAN
-122.14,37.7,17,1463,292,695,330,4.5859,187200,NEAR BAY
-117.49,33.99,21,2050,392,1153,336,4.84,116400,INLAND
-118.22,33.88,35,998,313,1335,311,1.6574,102500,<1H OCEAN
-121.94,37.93,16,3421,427,1341,428,7.5695,320400,INLAND
-122.41,37.79,52,6016,2509,3436,2119,2.5166,275000,NEAR BAY
-122.49,37.5,21,1209,309,801,259,4.5625,500000,NEAR OCEAN
-117.73,34.09,36,1543,297,1355,303,3.5313,117800,INLAND
-118.13,34.17,49,1962,435,1329,457,3.2898,200000,<1H OCEAN
-117.68,33.47,7,4458,731,1731,704,6.126,285600,<1H OCEAN
-118.06,33.97,37,1645,308,1077,320,4.3203,159200,<1H OCEAN
-119.71,34.43,18,1170,372,681,346,2.1974,255000,<1H OCEAN
-120.91,37.74,19,1690,327,855,296,3.25,176700,INLAND
-118.28,33.77,47,307,69,374,65,2.9063,146900,<1H OCEAN
-121.5,38.58,20,4018,1220,1570,1122,2.5821,125000,INLAND
-120.63,36.98,20,2380,489,1581,505,2.0595,61300,INLAND
-122.24,38.13,37,3223,564,1325,539,4.0938,126900,NEAR BAY
-122.64,41.73,50,1525,308,661,285,2.2206,63200,INLAND
-118.46,34.01,39,711,148,347,153,4.2813,297200,<1H OCEAN
-119.51,37.32,14,362,78,88,39,3.5893,214300,INLAND
-119.08,35.42,10,4159,608,2089,591,5.5261,132000,INLAND
-118.67,34.16,17,16544,2206,6214,2118,9.1228,500001,<1H OCEAN
-121.98,37.37,36,1651,344,1062,331,4.575,215400,<1H OCEAN
-121.97,37.36,34,884,153,534,154,6.0116,271200,<1H OCEAN
-118.32,33.79,32,2381,467,1264,488,4.1477,315100,<1H OCEAN
-120.85,37.78,25,421,537.8705525375618,303,106,2.2679,71300,INLAND
-122.25,38.17,34,778,137,406,136,4.2955,121300,NEAR BAY
-122.31,37.52,24,2328,335,969,354,7.7364,435800,NEAR OCEAN
-122.31,40.49,18,4026,718,1731,705,3.35,118400,INLAND
-117.7,34.04,13,5301,1025,2870,984,3.5954,163000,INLAND
-118.04,33.85,18,3628,546,1922,544,7.5057,328500,<1H OCEAN
-116.98,32.75,25,4137,662,1905,630,4.375,214000,<1H OCEAN
-117.04,32.58,14,2355,406,1883,401,5.0311,152100,NEAR OCEAN
-121.31,37.97,45,2604,454,988,442,3.6667,123100,INLAND
-121.61,37.15,16,5498,729,2051,694,7.8601,416300,<1H OCEAN
-116.86,34.23,13,4760,938,309,132,5.4618,147800,INLAND
-117.23,34.12,18,1439,319,699,310,2.1071,73500,INLAND
-120.47,34.65,32,2193,430,1074,377,2.3333,130200,NEAR OCEAN
-118.49,34.03,31,4949,1293,1985,1244,4.252,436700,<1H OCEAN
-118.49,34.07,36,2929,366,1054,352,13.5728,500001,<1H OCEAN
-117.1,32.68,47,771,224,637,212,2.0156,90300,NEAR OCEAN
-122.06,37.65,33,1227,286,848,291,3.8036,158200,NEAR BAY
-116.98,33.26,12,5898,1002,3129,945,4.7647,254100,<1H OCEAN
-121.93,37.32,50,1135,215,500,207,4.2614,211300,<1H OCEAN
-117.08,33.23,14,3337,571,1385,512,4.15,272200,<1H OCEAN
-121.62,36.74,30,1337,253,838,247,5.0374,165400,<1H OCEAN
-122.27,37.83,48,1798,432,987,374,1.0972,104500,NEAR BAY
-122.06,37.3,11,5488,706,1947,641,10.7326,500001,<1H OCEAN
-117.05,33.13,22,2427,390,1099,362,5.2323,167500,<1H OCEAN
-121.84,37.39,31,5524,914,2848,879,5.5592,229900,<1H OCEAN
-122.44,37.66,36,1447,276,799,275,4.7639,265600,NEAR OCEAN
-117.99,33.71,17,1600,458,1803,432,2.7865,216700,<1H OCEAN
-118.18,34.06,27,2025,565,2189,577,2.6083,148600,<1H OCEAN
-118.3,34.17,30,48,14,74,16,5.0056,162500,<1H OCEAN
-122.2,37.78,50,1867,403,1128,378,2.5401,129100,NEAR BAY
-117.79,33.56,36,2057,329,658,309,7.866,500001,<1H OCEAN
-122.15,38.29,17,1625,239,703,224,6.5891,328800,NEAR BAY
-117.93,33.65,29,1253,375,1198,362,3.5179,225000,<1H OCEAN
-119.68,36.32,26,592,121,268,116,1.7596,120800,INLAND
-122.66,38.48,16,2697,490,1462,515,4.2051,190300,<1H OCEAN
-121.7,37.91,17,1962,291,825,267,4.8958,187100,INLAND
-118.53,34.21,18,3124,796,1855,725,2.9389,213200,<1H OCEAN
-118.08,34.55,5,16181,2971,8152,2651,4.5237,141800,INLAND
-122.43,37.74,52,3328,653,1260,614,4.7437,331000,NEAR BAY
-124.14,41.95,21,2696,578,1208,494,2.275,122400,NEAR OCEAN
-120.66,38.4,18,2144,420,985,381,3.175,118500,INLAND
-117.87,35.73,13,2566,449,1181,414,4.1518,91800,INLAND
-120.81,38.73,38,2005,385,882,353,2.5104,120500,INLAND
-117.03,32.71,33,3126,627,2300,623,3.2596,103000,NEAR OCEAN
-122.01,37.37,25,2213,360,1066,390,7.2165,360900,<1H OCEAN
-122.09,37.41,14,753,193,421,153,4.2463,266700,NEAR BAY
-119.68,36.81,13,2589,413,1356,435,5.0253,106200,INLAND
-118.05,34.06,25,1022,291,1570,297,3.023,142000,<1H OCEAN
-118.07,33.89,32,1819,386,1679,360,3.5562,146000,<1H OCEAN
-122.78,38.37,21,795,163,414,162,3.7991,175000,<1H OCEAN
-122.21,37.43,23,5741,1012,1843,888,5.7211,500001,NEAR OCEAN
-117.68,33.49,18,4173,625,1649,634,6.3568,294300,<1H OCEAN
-120.84,37.43,32,2892,521,1580,484,3.7784,164500,INLAND
-117.64,34.07,38,2450,544,1823,536,2.837,111200,INLAND
-121.32,38.67,21,3455,706,1605,704,3.1382,91600,INLAND
-120.91,38.73,11,5460,859,2645,838,4.835,230600,INLAND
-117.96,33.98,25,1259,184,599,170,5.7407,302200,<1H OCEAN
-122.41,37.62,39,3119,758,1807,696,3.2216,242700,NEAR OCEAN
-116.97,32.74,14,7410,1344,3597,1274,4.2192,176100,<1H OCEAN
-118.36,34.1,37,7097,2010,2913,1939,2.875,300000,<1H OCEAN
-122.43,37.8,52,2520,649,959,607,5.7934,500001,NEAR BAY
-122.25,37.81,52,2155,701,895,613,2.5795,350000,NEAR BAY
-121.88,37.27,24,4567,688,2102,695,5.6895,289000,<1H OCEAN
-120.8,37.52,13,2920,481,1602,490,3.9286,145800,INLAND
-122.22,38.08,37,4590,857,2920,832,3.436,94800,NEAR BAY
-121.98,36.98,29,2681,632,1652,620,3.075,215800,NEAR OCEAN
-117.9,33.77,35,2002,378,1726,387,3.9613,182300,<1H OCEAN
-117.81,33.67,9,1567,299,675,294,5.2124,199600,<1H OCEAN
-122.87,38.62,52,1514,348,767,354,2.1903,160000,<1H OCEAN
-118.17,33.82,50,3587,693,1513,651,5.5106,252200,NEAR OCEAN
-117.54,34.47,4,6712,1200,3126,1026,3.2277,126500,INLAND
-122.07,37.33,13,2173,349,891,345,8.0158,420000,<1H OCEAN
-121.22,39.43,17,2254,485,1007,433,1.7,92300,INLAND
-117.15,32.91,15,1613,303,702,240,4.875,169300,<1H OCEAN
-119.4,36.53,28,2201,429,1524,412,2.75,65000,INLAND
